traj_id,coordinates
47,"[[116.32045   39.897327]
 [116.317917  39.897243]
 [116.314896  39.897213]
 [116.311935  39.897148]
 [116.310532  39.8993  ]
 [116.310455  39.903034]
 [116.310471  39.904961]
 [116.313568  39.907372]
 [116.316216  39.907425]
 [116.319878  39.907444]
 [116.323799  39.907413]
 [116.330269  39.907333]
 [116.332924  39.907307]
 [116.335495  39.907352]
 [116.340492  39.907291]
 [116.343361  39.907284]
 [116.347099  39.907242]
 [116.349945  39.907211]
 [116.356567  39.907127]
 [116.36145   39.907082]
 [116.364456  39.90707 ]
 [116.37149   39.907089]
 [116.374107  39.907097]
 [116.38163   39.907024]
 [116.384758  39.907116]
 [116.388344  39.907227]
 [116.391289  39.907318]
 [116.395294  39.907413]
 [116.397774  39.907486]
 [116.402863  39.907707]
 [116.405464  39.907776]
 [116.41066   39.907932]
 [116.415558  39.908051]
 [116.416092  39.906136]
 [116.418312  39.906597]
 [116.418152  39.909035]
 [116.418098  39.911224]
 [116.417976  39.914024]
 [116.419624  39.915558]
 [116.420761  39.915741]]"
48,"[[116.456894  39.956482]
 [116.45433   39.957947]
 [116.452438  39.959206]
 [116.448967  39.961533]
 [116.445892  39.963543]
 [116.440781  39.966888]
 [116.438362  39.968468]
 [116.432251  39.969624]
 [116.427811  39.969501]
 [116.425369  39.969421]
 [116.420578  39.969337]
 [116.418007  39.969265]
 [116.413231  39.969128]
 [116.408615  39.968987]
 [116.404251  39.968864]
 [116.39994   39.968739]
 [116.39193   39.968517]
 [116.387444  39.968376]
 [116.384918  39.968323]
 [116.382545  39.968258]
 [116.380043  39.968197]
 [116.372696  39.968029]
 [116.368721  39.967957]
 [116.362801  39.967827]
 [116.35862   39.96777 ]
 [116.351921  39.967758]
 [116.346886  39.967735]
 [116.342598  39.967724]
 [116.340157  39.96767 ]
 [116.335831  39.967628]
 [116.331139  39.967476]
 [116.326149  39.967285]
 [116.323761  39.96719 ]
 [116.318634  39.966175]
 [116.313644  39.964321]
 [116.308159  39.96067 ]
 [116.309196  39.95575 ]
 [116.309608  39.950905]
 [116.30986   39.9478  ]
 [116.309982  39.944286]
 [116.310074  39.942482]
 [116.31012   39.93766 ]
 [116.310097  39.934422]
 [116.310112  39.92944 ]
 [116.310158  39.920547]
 [116.310234  39.911945]
 [116.310249  39.908451]
 [116.310234  39.9053  ]
 [116.310257  39.90345 ]
 [116.31028   39.901596]
 [116.310265  39.899643]
 [116.310242  39.897644]
 [116.310265  39.892227]
 [116.310287  39.888962]
 [116.310471  39.883862]
 [116.310974  39.884754]
 [116.310493  39.886688]
 [116.312897  39.887455]
 [116.310593  39.884846]
 [116.310669  39.882687]
 [116.311119  39.879044]
 [116.311363  39.877151]
 [116.3116    39.87476 ]
 [116.312088  39.869999]
 [116.312355  39.867775]
 [116.312912  39.863853]
 [116.316727  39.858047]
 [116.319366  39.855183]
 [116.3209    39.853523]
 [116.322807  39.851639]
 [116.326324  39.849728]
 [116.333519  39.848919]
 [116.337524  39.848915]
 [116.343948  39.849228]
 [116.34864   39.850414]
 [116.350868  39.851036]
 [116.354958  39.852188]
 [116.359406  39.853367]
 [116.361954  39.854103]
 [116.366982  39.855522]
 [116.369499  39.856228]
 [116.37455   39.857063]
 [116.381989  39.857075]
 [116.38681   39.857056]
 [116.393692  39.857018]
 [116.398033  39.857056]
 [116.400505  39.857071]
 [116.403076  39.857033]
 [116.405647  39.856968]
 [116.412827  39.857063]
 [116.417847  39.857101]
 [116.420372  39.857193]
 [116.422958  39.857601]
 [116.425522  39.858059]
 [116.428078  39.858322]
 [116.430481  39.858479]
 [116.433044  39.858646]
 [116.43766   39.858948]
 [116.442528  39.858891]
 [116.446228  39.858883]
 [116.448547  39.859261]
 [116.453003  39.861401]
 [116.454956  39.862946]
 [116.457909  39.865421]
 [116.459625  39.86681 ]
 [116.461006  39.870029]
 [116.46109   39.871918]
 [116.461212  39.876671]
 [116.461197  39.879963]
 [116.461227  39.882362]
 [116.461418  39.891266]
 [116.461487  39.895245]
 [116.461601  39.898331]
 [116.461815  39.900803]
 [116.461868  39.90287 ]
 [116.462502  39.906433]
 [116.462151  39.910641]
 [116.462097  39.912933]
 [116.458099  39.913635]
 [116.457764  39.912395]
 [116.460693  39.913414]
 [116.461555  39.911434]
 [116.461311  39.909237]]"
49,"[[116.442947  39.895367]
 [116.443886  39.893471]
 [116.444611  39.895515]
 [116.442749  39.898827]
 [116.440414  39.899357]
 [116.436409  39.901215]
 [116.43615   39.904655]
 [116.435867  39.906815]
 [116.435776  39.90913 ]
 [116.435593  39.911358]
 [116.434914  39.915203]
 [116.434723  39.919678]
 [116.434601  39.92342 ]
 [116.434502  39.925556]
 [116.434311  39.929543]
 [116.434174  39.931774]
 [116.434097  39.934383]
 [116.433922  39.937347]
 [116.433868  39.939205]
 [116.433784  39.941311]
 [116.433746  39.943657]
 [116.433777  39.946053]
 [116.432816  39.949112]
 [116.429108  39.949772]
 [116.422745  39.94952 ]
 [116.420341  39.949436]
 [116.417122  39.949326]
 [116.410957  39.949127]
 [116.40551   39.949085]
 [116.402794  39.949059]
 [116.39856   39.949032]
 [116.394318  39.949001]
 [116.381279  39.948895]
 [116.378922  39.948883]
 [116.374268  39.948788]
 [116.369476  39.948132]
 [116.367264  39.947262]
 [116.363983  39.946091]
 [116.36142   39.945461]
 [116.357422  39.944336]
 [116.355034  39.942154]
 [116.355217  39.939835]
 [116.355217  39.937733]
 [116.35257   39.937519]
 [116.353165  39.935688]]"
50,"[[116.276176  39.914288]
 [116.275093  39.916901]
 [116.274345  39.915886]
 [116.273857  39.912865]
 [116.273727  39.909096]
 [116.273735  39.905743]
 [116.273674  39.903534]
 [116.27079   39.90292 ]
 [116.267143  39.903877]
 [116.264694  39.9039  ]
 [116.262001  39.903854]
 [116.261826  39.903812]
 [116.26403   39.903843]]"
51,"[[116.273712  39.893723]
 [116.273872  39.888432]
 [116.274445  39.885002]
 [116.276093  39.880486]
 [116.277603  39.876339]
 [116.278435  39.874187]
 [116.280952  39.869816]
 [116.282021  39.868061]
 [116.283104  39.86623 ]
 [116.2883    39.86554 ]
 [116.291161  39.865814]
 [116.294266  39.866024]
 [116.290054  39.86665 ]
 [116.288788  39.865929]
 [116.288918  39.865509]
 [116.293053  39.865871]
 [116.296234  39.866112]
 [116.299202  39.86631 ]
 [116.301567  39.866451]
 [116.305038  39.866692]
 [116.308426  39.866783]
 [116.308945  39.863888]
 [116.30941   39.861427]
 [116.309929  39.858578]
 [116.312988  39.85804 ]
 [116.309853  39.85804 ]
 [116.305374  39.858013]
 [116.302849  39.857979]
 [116.30024   39.858017]]"
52,"[[116.294197  39.863781]
 [116.29409   39.866043]
 [116.291039  39.866104]
 [116.287949  39.86581 ]
 [116.285355  39.865707]
 [116.282928  39.86726 ]
 [116.280258  39.871197]
 [116.277946  39.875946]
 [116.277039  39.878376]
 [116.276161  39.880753]
 [116.275505  39.882545]
 [116.274635  39.885174]
 [116.274605  39.896873]
 [116.274307  39.899971]
 [116.270416  39.900261]
 [116.267448  39.900288]
 [116.264992  39.900253]
 [116.264587  39.898083]
 [116.264587  39.895432]
 [116.264503  39.892906]
 [116.264542  39.890221]
 [116.26786   39.889492]
 [116.271103  39.889427]
 [116.273712  39.888321]
 [116.274704  39.884274]
 [116.275673  39.881649]
 [116.277077  39.877716]
 [116.277893  39.87553 ]
 [116.279533  39.871914]
 [116.28093   39.869835]
 [116.282127  39.867851]
 [116.283844  39.86578 ]
 [116.286819  39.865402]
 [116.294174  39.866028]
 [116.298615  39.866409]
 [116.303566  39.866753]
 [116.306152  39.86694 ]
 [116.30851   39.867104]
 [116.311134  39.867283]
 [116.316101  39.867573]
 [116.318466  39.867706]
 [116.322777  39.867943]
 [116.327873  39.868031]
 [116.330322  39.868019]
 [116.336014  39.868031]
 [116.342789  39.868046]
 [116.348495  39.868069]
 [116.352974  39.868149]
 [116.357605  39.868256]
 [116.361732  39.868607]
 [116.364243  39.868973]
 [116.364258  39.871025]
 [116.364227  39.871483]]"
54,"[[116.273994  39.936714]
 [116.274353  39.934029]
 [116.274666  39.931507]
 [116.275047  39.928501]
 [116.275009  39.925606]
 [116.273926  39.923218]
 [116.276978  39.924149]
 [116.281784  39.924183]
 [116.284615  39.924107]
 [116.287964  39.924026]
 [116.292336  39.923946]
 [116.296204  39.922516]
 [116.295975  39.918797]
 [116.298676  39.917309]
 [116.300766  39.91637 ]
 [116.302124  39.914894]
 [116.302086  39.91283 ]
 [116.302094  39.910568]
 [116.301933  39.907661]
 [116.300766  39.907722]]"
56,"[[116.276161  39.870762]
 [116.277328  39.872303]
 [116.280418  39.870476]
 [116.281754  39.868496]
 [116.283882  39.865738]
 [116.28688   39.865368]
 [116.293747  39.866062]
 [116.297485  39.866322]
 [116.311195  39.867306]
 [116.313675  39.867466]
 [116.319298  39.867794]
 [116.321213  39.870373]
 [116.321175  39.872772]
 [116.321152  39.874977]
 [116.321121  39.877369]
 [116.321236  39.879681]
 [116.324249  39.87978 ]
 [116.324341  39.88176 ]
 [116.324257  39.884212]
 [116.321457  39.884502]]"
57,"[[116.304886  39.882412]
 [116.302437  39.881485]
 [116.299004  39.880524]
 [116.292198  39.879169]
 [116.289749  39.878693]
 [116.287155  39.878197]
 [116.277336  39.874916]
 [116.275154  39.873859]
 [116.272789  39.8727  ]
 [116.268288  39.870514]
 [116.266159  39.86948 ]
 [116.261612  39.867336]
 [116.256943  39.865467]
 [116.254692  39.864563]
 [116.252502  39.863689]
 [116.250351  39.862823]
 [116.247963  39.8619  ]
 [116.245422  39.860847]
 [116.240875  39.858864]
 [116.23806   39.855198]
 [116.237518  39.853168]
 [116.233932  39.850342]
 [116.230011  39.848282]
 [116.221367  39.844635]
 [116.218979  39.844208]
 [116.216362  39.843735]
 [116.213715  39.843254]
 [116.211357  39.842186]
 [116.210747  39.840439]
 [116.211365  39.836452]
 [116.211868  39.834152]
 [116.212219  39.831875]
 [116.212547  39.829597]
 [116.212852  39.82748 ]
 [116.213417  39.823551]
 [116.213478  39.821751]
 [116.212318  39.818455]
 [116.209206  39.815319]
 [116.20623   39.81329 ]
 [116.207664  39.812965]
 [116.208336  39.810776]
 [116.208572  39.810585]]"
58,"[[116.395485  39.856949]
 [116.400986  39.856945]
 [116.394981  39.857254]
 [116.386726  39.857166]
 [116.378403  39.857349]
 [116.377701  39.860531]]"
